epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3746.08,1.70697,1.85844,0.99492,0.1384,0.07217,0.0948,0.06836,1.59111,1.88778,0.96928,0.000219325,0.000219325,0.000219325
75,3797.7,1.57331,1.80512,1.00083,0.1384,0.07217,0.0948,0.06836,1.59111,1.88778,0.96928,0.00021685,0.00021685,0.00021685
76,3852.08,1.70244,1.86006,0.98726,0.1396,0.07212,0.09592,0.06963,1.58285,1.87886,0.96746,0.000214375,0.000214375,0.000214375
77,3906.46,1.73729,1.80985,0.98772,0.14253,0.07273,0.09789,0.07206,1.56793,1.86729,0.96539,0.0002119,0.0002119,0.0002119
78,3962.2,1.75056,1.87608,0.98758,0.14476,0.073,0.09909,0.07284,1.56036,1.85858,0.96423,0.000209425,0.000209425,0.000209425
79,4013.04,1.68604,1.87316,0.99052,0.14476,0.073,0.09909,0.07284,1.56036,1.85858,0.96423,0.00020695,0.00020695,0.00020695
80,4061.77,1.67575,1.81516,0.98526,0.18684,0.07924,0.1033,0.0764,1.55774,1.85057,0.96407,0.000204475,0.000204475,0.000204475
81,4108.65,1.60355,1.77962,0.98669,0.18906,0.07569,0.10232,0.07516,1.554,1.84446,0.9628,0.000202,0.000202,0.000202
82,4156.18,1.68804,1.8332,0.99275,0.19239,0.07967,0.10575,0.07743,1.5468,1.84228,0.96124,0.000199525,0.000199525,0.000199525
83,4203.61,1.57608,1.78051,0.98757,0.1912,0.08032,0.10437,0.07645,1.5468,1.84228,0.96124,0.00019705,0.00019705,0.00019705
84,4251.7,1.57537,1.75351,0.98095,0.23179,0.08117,0.10709,0.07881,1.53852,1.84089,0.95992,0.000194575,0.000194575,0.000194575
85,4300.46,1.67744,1.80633,0.99164,0.23163,0.08137,0.10779,0.07953,1.52962,1.84098,0.9588,0.0001921,0.0001921,0.0001921
86,4351.29,1.68274,1.80027,0.98748,0.2688,0.07973,0.10454,0.07682,1.52524,1.83781,0.95866,0.000189625,0.000189625,0.000189625
87,4406.1,1.69953,1.8517,0.99123,0.26632,0.0795,0.10427,0.07665,1.52524,1.83781,0.95866,0.00018715,0.00018715,0.00018715
88,4461.94,1.77798,1.88121,0.99379,0.26775,0.07904,0.10448,0.07622,1.52317,1.82857,0.95724,0.000184675,0.000184675,0.000184675
89,4515.86,1.60656,1.79095,0.97488,0.22698,0.0795,0.10421,0.07597,1.52786,1.81534,0.95551,0.0001822,0.0001822,0.0001822
90,4570.56,1.63748,1.7758,0.98923,0.22188,0.08098,0.10285,0.07449,1.53665,1.80621,0.95526,0.000179725,0.000179725,0.000179725
91,4624.17,1.6302,1.76549,0.98706,0.22188,0.08098,0.10285,0.07449,1.53665,1.80621,0.95526,0.00017725,0.00017725,0.00017725
92,4678.39,1.62937,1.71325,0.97518,0.22324,0.08308,0.10399,0.07552,1.53566,1.79705,0.95514,0.000174775,0.000174775,0.000174775
93,4732.83,1.67765,1.74755,0.98421,0.226,0.08088,0.10435,0.07609,1.52768,1.78642,0.95465,0.0001723,0.0001723,0.0001723
94,4787.38,1.70246,1.74887,0.98513,0.22866,0.08079,0.10456,0.07622,1.52518,1.7812,0.95533,0.000169825,0.000169825,0.000169825
95,4839.69,1.57511,1.66793,0.97843,0.22866,0.08079,0.10456,0.07622,1.52518,1.7812,0.95533,0.00016735,0.00016735,0.00016735
96,4892.32,1.61285,1.73659,0.97364,0.23055,0.07877,0.10795,0.07878,1.52373,1.77615,0.95522,0.000164875,0.000164875,0.000164875
97,4948.87,1.62871,1.74359,0.97452,0.23313,0.07939,0.10988,0.08077,1.51485,1.76893,0.95359,0.0001624,0.0001624,0.0001624
98,5003.71,1.65623,1.77865,0.97409,0.23681,0.08385,0.11431,0.08418,1.50558,1.7563,0.95103,0.000159925,0.000159925,0.000159925
99,5055.53,1.51664,1.66309,0.96887,0.23681,0.08385,0.11431,0.08418,1.50558,1.7563,0.95103,0.00015745,0.00015745,0.00015745
100,5111.06,1.55346,1.68555,0.97556,0.1957,0.08591,0.11449,0.08432,1.49904,1.74873,0.94921,0.000154975,0.000154975,0.000154975
101,5165.45,1.54478,1.68787,0.96593,0.23491,0.08746,0.11428,0.08415,1.49711,1.74631,0.94883,0.0001525,0.0001525,0.0001525
102,5220.08,1.56003,1.66717,0.97559,0.23626,0.08895,0.11575,0.08572,1.49522,1.7454,0.94865,0.000150025,0.000150025,0.000150025
103,5274.76,1.60202,1.70556,0.96992,0.23626,0.08895,0.11575,0.08572,1.49522,1.7454,0.94865,0.00014755,0.00014755,0.00014755
104,5328.29,1.56549,1.6603,0.96384,0.27731,0.08989,0.1167,0.0869,1.49437,1.74233,0.94832,0.000145075,0.000145075,0.000145075
105,5383.28,1.62372,1.72976,0.98707,0.23971,0.09014,0.11687,0.0866,1.49496,1.73769,0.9473,0.0001426,0.0001426,0.0001426
106,5437.41,1.55844,1.66037,0.96794,0.2421,0.09201,0.11757,0.08694,1.49431,1.72838,0.94539,0.000140125,0.000140125,0.000140125
107,5493.32,1.60105,1.69121,0.96565,0.2421,0.09201,0.11757,0.08694,1.49431,1.72838,0.94539,0.00013765,0.00013765,0.00013765
108,5549.24,1.61538,1.6938,0.96872,0.31939,0.09137,0.11759,0.0869,1.49531,1.71996,0.94406,0.000135175,0.000135175,0.000135175
109,5600.02,1.53138,1.65925,0.97494,0.35883,0.09234,0.11907,0.08798,1.4962,1.71309,0.94344,0.0001327,0.0001327,0.0001327
